zona|nivel|velocidadPromedio|detalle
Centro Historico|Alto|14|Carga vehicular elevada por entregas y turismo.
Zona Norte|Medio|28|Flujo estable con semaforos sincronizados.
Corredor Universitario|Bajo|42|Transito fluido durante el turno matutino.
Distrito Financiero|Alto|12|Congestion alrededor de estacionamientos corporativos.
Anillo Periferico|Medio|31|Circulacion constante con pequenos retenes.
Terminal Oriente|Alto|16|Demanda elevada por salidas interurbanas.
Hospitales Sur|Medio|24|Paso continuo de ambulancias y transporte local.
Parque Industrial|Bajo|39|Carga ligera despues del cambio de turno.
Azcapotzalco|Medio|27|Lluvia ligera reduce velocidad promedio.
Aeropuerto Poniente|Alto|18|Fila extendida en accesos principales.
